GameID,Date,HomeTeam,HomeScore,AwayTeam,AwayScore,HomeMA,AwayMA
193,12/17,Argosy Collegiate Charter,34,New Heights Charter,67,True,True
194,12/16,Amherst Pelham Regional,34,Palmer,19,True,True
195,12/19,Amherst Pelham Regional,43,Monson,14,True,True
196,12/22,Argosy Collegiate Charter,28,Atlantis Charter,67,True,True
197,12/23,Amherst Pelham Regional,16,Ware,31,True,True
198,12/30,Argosy Collegiate Charter,12,Seekonk,57,True,True
199,1/2,Amherst Pelham Regional,19,Granby,42,True,True
200,1/6,Argosy Collegiate Charter,21,Boston Collegiate Charter,54,True,True
201,1/5,Amherst Pelham Regional,35,Chicopee,46,True,True
202,1/7,Argosy Collegiate Charter,38,Boston Preparatory,23,True,True
203,1/9,Amherst Pelham Regional,26,Granby,22,True,True
204,1/12,Argosy Collegiate Charter,39,Codman Academy,31,True,True
205,1/15,Amherst Pelham Regional,33,Ludlow,25,True,True
206,1/13,Argosy Collegiate Charter,26,Roxbury Prep Charter,38,True,True
207,1/20,Amherst Pelham Regional,19,Pope Francis,49,True,True
208,1/20,Argosy Collegiate Charter,41,Foxborough Charter,43,True,True
209,1/22,Amherst Pelham Regional,46,Palmer,41,True,True
210,1/22,Argosy Collegiate Charter,35,Codman Academy,36,True,True
211,1/24,Amherst Pelham Regional,49,HS of Science & Technology,30,True,True
212,1/28,Argosy Collegiate Charter,23,Brooke Charter,51,True,True
213,1/28,Amherst Pelham Regional,26,West Springfield,57,True,True
214,1/29,Argosy Collegiate Charter,25,Foxborough Charter,14,True,True
215,1/29,Amherst Pelham Regional,24,Ware,29,True,True
216,1/30,Argosy Collegiate Charter,12,Neighborhood House,67,True,True
217,1/31,Amherst Pelham Regional,32,HS of Science & Technology,39,True,True
218,12/12,Arlington Catholic,49,Cambridge Rindge & Latin,43,True,True
219,2/4,Amherst Pelham Regional,24,Easthampton,50,True,True
220,12/15,Arlington Catholic,46,Notre Dame (Hingham),38,True,True
221,2/6,Amherst Pelham Regional,29,Holyoke,60,True,True
222,12/16,Arlington Catholic,60,Lowell Catholic,30,True,True
223,2/9,Amherst Pelham Regional,32,Monson,23,True,True
224,12/21,Arlington Catholic,26,Bishop Fenwick,53,True,True
225,2/11,Amherst Pelham Regional,32,Monument Mountain,54,True,True
226,12/23,Arlington Catholic,69,Winthrop,25,True,True
227,2/13,Amherst Pelham Regional,34,Chicopee,49,True,True
228,12/28,Arlington Catholic,60,Newburyport,33,True,True
229,12/16,Andover,70,Cambridge Rindge & Latin,48,True,True
230,12/29,Arlington Catholic,49,Reading Memorial,28,True,True
231,12/27,Andover,52,Methuen,25,True,True
232,1/2,Arlington Catholic,21,Bishop Feehan,59,True,True
233,12/28,Andover,48,Bridgewater Raynham,39,True,True
234,1/6,Arlington Catholic,47,Ursuline Academy,27,True,True
235,12/30,Andover,41,Natick,57,True,True
236,1/9,Arlington Catholic,61,Cathedral,57,True,True
237,1/4,Andover,58,Fontbonne,38,True,True
238,1/6,Andover,56,Haverhill,21,True,True
239,1/15,Arlington Catholic,60,Saugus,29,True,True
240,1/9,Andover,55,North Andover,27,True,True
241,1/16,Arlington Catholic,69,Cardinal Spellman,13,True,True
242,1/13,Andover,40,Billerica Memorial,24,True,True
243,1/20,Arlington Catholic,63,Notre Dame (Hingham),40,True,True
244,1/16,Andover,58,Lawrence,31,True,True
245,1/23,Arlington Catholic,60,Bishop Stang,10,True,True
246,1/18,Andover,57,Central Catholic,31,True,True
247,1/27,Arlington Catholic,38,St. Mary's,51,True,True
248,1/20,Andover,56,Dracut,47,True,True
249,1/23,Andover,62,Tewksbury Memorial,27,True,True
250,2/3,Arlington Catholic,72,Lowell Catholic,20,True,True
251,1/28,Andover,59,Methuen,26,True,True
252,2/6,Arlington Catholic,42,St. Mary's,65,True,True
253,1/30,Andover,30,Lowell,28,True,True
254,2/9,Arlington Catholic,55,Fontbonne,54,True,True
255,2/3,Andover,53,Chelmsford,32,True,True
256,2/11,Arlington Catholic,50,Ursuline Academy,29,True,True
257,2/16,Arlington Catholic,50,Arlington,51,True,True
258,2/9,Andover,54,Chelmsford,23,True,True
259,12/12,Arlington,55,Wilmington,42,True,True
260,2/12,Andover,42,Billerica Memorial,31,True,True
261,12/16,Arlington,46,Burlington,36,True,True
262,2/14,Andover,58,Newton North,44,True,True
263,12/19,Arlington,42,Belmont,37,True,True
264,2/16,Andover,52,St. Mary's,41,True,True
265,12/22,Arlington,44,Reading Memorial,31,True,True
266,12/12,Apponequet Regional,52,Norton,39,True,True
267,12/29,Arlington,48,Lowell,51,True,True
268,12/16,Apponequet Regional,38,Old Rochester Regional,24,True,True
269,12/30,Arlington,58,Peabody Veterans,41,True,True
270,12/19,Apponequet Regional,48,Somerset Berkley Regional,29,True,True
271,1/6,Arlington,34,Stoneham,29,True,True
272,12/27,Apponequet Regional,61,Dartmouth,43,True,True
273,1/9,Arlington,39,Woburn Memorial,46,True,True
274,12/30,Apponequet Regional,39,Medway,43,True,True
275,1/13,Arlington,52,Melrose,42,True,True
276,1/2,Apponequet Regional,64,Greater New Bedford,50,True,True
277,1/16,Arlington,40,Lexington,26,True,True
278,1/5,Apponequet Regional,64,Middleborough,35,True,True
279,1/20,Arlington,58,Watertown,40,True,True
280,1/6,Apponequet Regional,62,Bourne,33,True,True
281,1/23,Arlington,38,Winchester,45,True,True
282,1/10,Apponequet Regional,69,West Bridgewater,42,True,True
283,1/25,Arlington,61,Wellesley,59,True,True
284,1/13,Apponequet Regional,84,Dighton Rehoboth Regional,34,True,True
285,1/28,Arlington,36,Wakefield Memorial,33,True,True
286,1/16,Apponequet Regional,50,Somerset Berkley Regional,34,True,True
287,1/30,Arlington,46,Belmont,34,True,True
288,1/20,Apponequet Regional,61,Case,28,True,True
289,2/3,Arlington,42,Reading Memorial,37,True,True
290,1/23,Apponequet Regional,74,Greater New Bedford,34,True,True
291,2/6,Arlington,50,Woburn Memorial,55,True,True
292,1/28,Apponequet Regional,61,Old Rochester Regional,28,True,True
293,2/10,Arlington,42,Lexington,36,True,True
294,2/2,Apponequet Regional,50,Middleborough,34,True,True
295,2/12,Arlington,52,Winchester,34,True,True
296,2/3,Apponequet Regional,64,Dighton Rehoboth Regional,42,True,True
297,12/12,Ashland,39,Blackstone Valley RVT,34,True,True
298,1/6,Attleboro,32,Oliver Ames,52,True,True
299,12/16,Ashland,42,Norwood,63,True,True
300,1/9,Attleboro,52,Franklin,68,True,True
301,12/19,Ashland,50,Dedham,57,True,True
302,1/13,Attleboro,38,Foxborough,73,True,True
303,12/22,Ashland,50,Hopedale,53,True,True
304,1/15,Attleboro,55,Framingham,28,True,True
305,12/23,Ashland,19,Medfield,77,True,True
306,1/16,Attleboro,48,Sharon,27,True,True
307,12/29,Ashland,55,Weston,28,True,True
308,1/20,Attleboro,32,North Attleborough,48,True,True
309,12/30,Ashland,55,Sharon,52,True,True
310,1/23,Attleboro,32,King Philip Regional,59,True,True
311,1/5,Ashland,72,Dover-Sherborn,40,True,True
312,1/28,Attleboro,48,Stoughton,17,True,True
313,1/7,Ashland,35,Medway,52,True,True
314,1/30,Attleboro,43,Taunton,47,True,True
315,1/9,Ashland,61,Holliston,62,True,True
316,2/1,Attleboro,53,Durfee,47,True,True
317,1/13,Ashland,41,Hopkinton,58,True,True
318,2/3,Attleboro,44,Milford,41,True,True
319,1/16,Ashland,38,Westwood,47,True,True
320,2/6,Attleboro,57,Franklin,73,True,True
321,1/20,Ashland,46,Millis,53,True,True
322,2/10,Attleboro,54,Sharon,48,True,True
323,1/23,Ashland,48,Bellingham,58,True,True
324,2/13,Attleboro,34,King Philip Regional,57,True,True
325,1/30,Ashland,34,Norwood,76,True,True
326,2/16,Attleboro,38,Natick,53,True,True
327,2/3,Ashland,46,Dedham,26,True,True
328,2/18,Attleboro,41,Westford Academy,50,True,True
329,2/6,Ashland,54,Holliston,28,True,True
330,12/11,Auburn,42,Tantasqua Regional,47,True,True
331,2/9,Ashland,56,Norton,53,True,True
332,12/18,Auburn,20,Millbury,44,True,True
333,2/10,Ashland,43,Hopkinton,45,True,True
334,12/22,Auburn,37,Westborough,48,True,True
